,Название,Текст,Первоисточник
0,Белла Ахмадулина. Сборник стихов,"






",[]
1,СНЫ О ГРУЗИИ,"

Сны о Грузии - вот радость!
И под утро так чиста
виноградовая сладость,
осенявшая уста.
Ни о чем я не жалею,
ничего я не хочу -
в золотом Свети-Цховели
ставлю бедную свечу.
Малым камушкам во Мцхета
воздаю хвалу и честь.
Господи, пусть будет это
вечно так, как ныне есть.
Пусть всегда мне будут в новость
и колдуют надо мной
милой родины суровость,
нежность родины чужой.

",[]
2,ГРУЗИНСКИХ ЖЕНЩИН ИМЕНА,"

Там в море паруса плутали,
и, непричастные жаре,
медлительно цвели платаны
и осыпались в ноябре.

И лавочка в старинном парке
бела вставала и нема,
и смутно виноградом пахли
грузинских женщин имена.

Они переходили в лепет,
который к морю выбегал
и выплывал, как черный лебедь,
и странно шею выгибал.

Смеялась женщина Ламара,
бежала по камням к воде,
и каблучки по ним ломала,
и губы красила в вине.

И мокли волосы Медеи,
вплетаясь утром в водопад,
и капли сохли, и мелели,
и загорались невпопад.

И, заглушая олеандры,
собравши все в одном цветке,
витало имя Ариадны
и растворялось вдалеке.

Едва опершийся на сваи,
там приникал к воде причал.
""Цисана!"" - из окошка звали.
""Натэла!"" - голос отвечал...

",[]
3,x x x,"

Смеясь, ликуя и бунтуя,
в своей безвыходной тоске,
в Махинджаури, под Батуми,
она стояла на песке.
Она была такая гордая -
вообразив себя рекой,
она входила в море голая
и море трогала рукой.
Освободясь от ситцев лишних,
так шла и шла наискосок.
Она расстегивала лифчик,
чтоб сбросить лифчик на песок.

И вид ее предплечья смутного
дразнил и душу бередил.
Там белое пошло по смуглому,
где раньше ситец проходил.

Она смеялася от радости,
в воде ладонями плеща,
и перекатывались радуги
от головы и до плеча.

",[]
4,АБХАЗСКИЕ ПОХОРОНЫ,"

Две девочки бросали георгины,
бросали бережливо, иногда,
и женщины устало говорили:
- Цветы сегодня дороги - беда...

И с жадным страхом улица глядела,
как девочки ступали впереди,
как в отблесках дешевого глазета
белым-белели руки на груди.

Несли венки, тяжелые, скупые,
старушек черных под руки влекли.
Да, все, что на приданое скопили,
все превратилось в белые венки.

На кладбище затеяли поминки,
все оживились, вздрогнули легко,
и лишь глаза у женщины поникли
и щеки провалились глубоко.

Но пили, пили стопкою и чашкой -
и горе отпустило, отлегло,
и на дороге долго пахло чачей,
и голоса звучали тяжело.

И веселились песни хоровые,
забывшие нарочно про беду...
Так девочку Геули хоронили.
Давно уже - не в нынешнем году -

",[]
5,x x x,"
- Все это надо перешить, -
сказал портной, - ведь дело к маю.
-Все это надо пережить-
сказала я, - я понимаю.

И в кольцах камушки сменить,
и челку рыжую подрезать,
и в край другой себя сманить,
и вновь по Грузии поездить.

",[]
6,ЧУЖОЕ РЕМЕСЛО,"

Чужое ремесло мной помыкает.
На грех наводит, за собой маня.
моя работа мне не помогает
и мстительно сторонится меня.


Я ей вовеки соблюдаю верность,
пишу стихи у краешка стола,
и все-таки меня снедает ревность,
когда творят иные мастера.

Поет высоким голосом кинто,
и у меня в тбилисском том духане,
в картинной галерее и в кино
завистливо заходится дыханье.

Когда возводит красную трубу
печник на необжитом новом доме,
я тоже вытираю об траву
замаранные глиною ладони.

О, сделать так, как сделал оператор -
послушно перенять его пример
и, пристально приникнув к аппаратам,
прищуриться на выбранный предмет.

О, эта жадность деревце сажать,
из лейки лить на грядках неполитых
и линии натурщиц отражать,
размазывая краски на палитрах!

Так власть чужой работы надо мной
меня жестоко требует к ответу.
Но не прошу я участи иной.
Благодарю скупую радость эту.

",[]
7,x x x,"

Ты говоришь - не надо плакать.
А может быть, и впрямь, и впрямь
не надо плакать - надо плавать
в холодных реках. Надо вплавь

одолевать ночную воду,
плывущую из-под руки,
чтоб даровать себе свободу
другого берега реки.

Недаром мне вздыхалось сладко
в Сибири, в чистой стороне,
где доверительно и слабо
растенья никнули ко мне.

Как привести тебе примеры
того, что делалось со мной?
Мерцают в памяти предметы
и отдают голубизной.

Байкала потаенный омут,
где среди медленной воды

посверкивая ходит омуль
и перышки его видны.

И те дома, и те сараи,
заметные на берегах,
и цвета яркого саранки,
мгновенно сникшие в руках.

И в белую полоску чудо -
внезапные бурундуки,

так испытующе и чутко
в меня вперявшие зрачки.

Так завлекала и казнила
меня тех речек глубина.
Граненая вода Кизира
была, как пламень, холодна.

И опровергнуто лукавство
мое и все слова твои
напоминающей лекарство
целебной горечью травы.

Припоминается мне снова,
что там, среди земли и ржи,
мне не пришлось сказать ни слова,
ни слова маленького лжи.

",[]
8,ДЕНЬ ПОЭЗИИ,"

Какой безумец празднество затеял
и щедро Днем поэзии нарек?
По той дороге, где мой след затерян,
стекается на празднество народ.

О славный день, твои гуляки буйны.
И на себя их смелость не беру.
Ты для меня -торжественные будни.
Не пировать мне на твоем пиру.

А в публике - доверье и смущенье.
Как добрая душа ее проста.
Великого и малого смешенье
не различает эта доброта.

Пока дурачит слух ее невежда,
пока никто не видит в этом зла,
мне остается смутная надежда,
что праздники случаются не зря.

Не зря слова поэтов осеняют,
не зря, когда звучат их голоса,
у мальчиков и девочек сияют
восторгом и неведеньем глаза.

",[]
9,НОВАЯ ТЕТРАДЬ,"

Смущаюсь и робею пред листом
бумаги чистой.
Так стоит паломник
у входа в храм.
Пред девичьим лицом
так опытный потупится поклонник.

Как будто школьник, новую тетрадь
я озираю алчно и любовно,
чтобы потом пером ее терзать,
марая ради замысла любого.

Чистописанья сладостный урок
недолог. Перевернута страница.
Бумаге белой нанесен урон,
бесчинствует мой почерк и срамится.



Так в глубь тетради, словно в глубь лесов,
я безрассудно и навечно кану,
одна среди сияющих листов
неся свою ликующую кару.

",[]
