,Фамилия,Имя,Отчество,Название,Текст,Год
0,Лермонтов,Михаил,Юрьевич,"10 июля (Опять вы, гордые, восстали...)","


Опять вы, гордые, восстали
За независимость страны,
И снова перед вами пали
Самодержавия сыны,
И снова знамя вольности кровавой
Явилося, победы мрачный знак,
Оно любимо было прежде славой:
Суворов был его сильнейший враг.


 ",1830
1,Лермонтов,Михаил,Юрьевич,11 июля,"
Между лиловых облаковОднажды вечера светилоЗа снежной цепию холмовКраснея ярко заходило,И возле девы молодой,Последним блеском озаренной,Стоял я бледный, чуть живой,И с головы ее бесценнойМоих очей я не сводил.Как долго это я мгновеньеВ туманной памяти хранил.Ужель всё было сновиденье:И ложе девы, и окно,И трепет милых уст, и взгляды,В которых мне запрещеноСудьбой искать себе отрады?Нет, только счастье ослепитьУмеет мысли и желанья,И сном никак не может бытьВсе, в чем хоть искра есть страданья!
 ",
2,Лермонтов,Михаил,Юрьевич,1830 год. Июля 15-го,"
(Москва)
Зачем семьи родной безвестный кругЯ покидал? Все сердце грело там,Все было мне наставник или друг,Все верило младенческим мечтам.Как ужасы пленяли юный дух,Как я рвался на волю к облакам!Готов лобзать уста друзей был я,Не посмотрев, не скрыта ль в них змея. - 
Но в общество иное я вступил,Узнал людей и дружеский обман,Стал подозрителен и погубилБеспечности душевной талисман.Чтобы никто теперь не говорил:Он будет друг мне! - боль старинных ранИз груди извлечет не речь, но стон;И не привет, упрек услышит он. 
Ах! я любил, когда я был счастлив,Когда лишь от любви мог слезы лить.Но эту грудь страданьем напоив,Скажите мне, возможно ли любить? 

Страшусь, в объятья деву заключив,Живую душу ядом отравить,И показать, что сердце у меняЕсть жертвенник, сгоревший от огня. 
Но лучше я, чем для людей кажусь,Они в лице не могут чувств прочесть; - И что молва кричит о мне... боюсь! - Когда б я знал, не мог бы перенесть.Противу них во мне горит, клянусь,Не злоба, не презрение, не месть.Но.... для чего старалися ониТак отравить ребяческие дни? - - 
Согбенный лук, порвавши тетиву,Гремит - но вновь не будет прям как был.Чтоб цепь их сбросить, я, подняв главу,Последнее усилие свершил;Что ж. - Ныне жалкий, грустный я живуБез дружбы, без надежд, без дум, без сил,Бледней, чем луч бесчувственной луны,Когда в окно скользит он вдоль стены.
 ",
3,Лермонтов,Михаил,Юрьевич,1830. Мая. 16 числа,"
Боюсь не смерти я. О, нет!Боюсь исчезнуть совершенно.Хочу, чтоб труд мой вдохновенныйКогда-нибудь увидел свет;Хочу - и снова затрудненье!Зачем? что пользы будет мне?Мое свершится разрушеньеВ чужой, неведомой стране.Я не хочу бродить меж вамиПо разрушение! - Творец,На то ли я звучал струнами,На то ли создан был певец?На то ли вдохновенье, страстиМеня к могиле привели?И нет в душе довольно власти - Люблю мучения земли.И этот образ, он за мноюВ могилу силится бежать,Туда, где обещал мне датьТы место к вечному покою.Но чувствую: покоя нет:И там, и там его не будет;Тех длинных, тех жестоких летСтрадалец вечно не забудет!...
 ",
4,Лермонтов,Михаил,Юрьевич,"1831–го июня 11 дня (Моя душа, я помню...)","


1


Моя душа, я помню, с детских лет
Чудесного искала. Я любил
Все обольщенья света, но не свет,
В котором я минутами лишь жил;
И те мгновенья были мук полны,
И населял таинственные сны
Я этими мгновеньями. Но сон,
Как мир, не мог быть ими омрачен.
 2


Как часто силой мысли в краткий час
Я жил века и жизнию иной,
И о земле позабывал. Не раз,
Встревоженный печальною мечтой,
Я плакал; но все образы мои,
Предметы мнимой злобы иль любви,
Не походили на существ земных.
О нет! всё было ад иль небо в них.
 3


Холодной буквой трудно объяснить
Боренье дум. Нет звуков у людей
Довольно сильных, чтоб изобразить
Желание блаженства. Пыл страстей
Возвышенных я чувствую, но слов
Не нахожу и в этот миг готов
Пожертвовать собой, чтоб как–нибудь
Хоть тень их перелить в другую грудь.
 4


Известность, слава, что они?— а есть
У них над мною власть; и мне они
Велят себе на жертву всё принесть,
И я влачу мучительные дни
Без цели, оклеветан, одинок;
Но верю им!— неведомый пророк
Мне обещал бессмертье, и, живой,
Я смерти отдал всё, что дар земной.
 5


Но для небесного могилы нет.
Когда я буду прах, мои мечты,
Хоть не поймет их, удивленный свет
Благословит; и ты, мой ангел, ты
Со мною не умрешь: моя любовь
Тебя отдаст бессмертной жизни вновь;
С моим названьем станут повторять
Твое: на что им мертвых разлучать?
 6


К погибшим люди справедливы; сын
Боготворит, что проклинал отец.
Чтоб в этом убедиться, до седин
Дожить не нужно. Есть всему конец;
Немного долголетней человек
Цветка; в сравненье с вечностью их век
Равно ничтожен. Пережить одна
Душа лишь колыбель свою должна.
 7


Так и ее созданья. Иногда,
На берегу реки, один, забыт,
Я наблюдал, как быстрая вода
Синея, гнется в волны, как шипит
Над ними пена белой полосой;
И я глядел, и мыслию иной
Я не был занят, и пустынный шум
Рассеивал толпу глубоких дум.
 8


Тут был я счастлив... О, когда б я мог
Забыть, что незабвенно! женский взор!
Причину стольких слез, безумств, тревог!
Другой владеет ею с давных пор,
И я другую с нежностью люблю,
Хочу любить,— и небеса молю
О новых муках; но в груди моей
Всё жив печальный призрак прежних дней.
 9


Никто не дорожит мной на земле,
И сам себе я в тягость, как другим;
Тоска блуждает на моем челе.
Я холоден и горд; и даже злым
Толпе кажуся; но ужель она
Проникнуть дерзко в сердце мне должна?
Зачем ей знать, что в нем заключено?
Огонь иль сумрак там — ей всё равно.
 10


Темна проходит туча в небесах,
И в ней таится пламень роковой;
Он, вырываясь, обращает в прах
Всё, что ни встретит. С дивной быстротой
Блеснет, и снова в облаке укрыт;
И кто его источник объяснит,
И кто заглянет в недра облаков?
Зачем? они исчезнут без следов.
 11


Грядущее тревожит грудь мою.
Как жизнь я кончу, где душа моя
Блуждать осуждена, в каком краю
Любезные предметы встречу я?
Но кто меня любил, кто голос мой
Услышит и узнает? И с тоской
Я вижу, что любить, как я,— порок,
И вижу, я слабей любить не мог.
 12


Не верят в мире многие любви
И тем счастливы; для иных она
Желанье, порожденное в крови,
Расстройство мозга иль виденье сна.
Я не могу любовь определить,
Но это страсть сильнейшая!— любить
Необходимость мне; и я любил
Всем напряжением душевных сил.
 13


И отучить не мог меня обман;
Пустое сердце ныло без страстей,
И в глубине моих сердечных ран
Жила любовь, богиня юных дней;
Так в трещине развалин иногда
Береза вырастает молода
И зелена, и взоры веселит,
И украшает сумрачный гранит.
 14


И о судьбе ее чужой пришлец
Жалеет. Беззащитно предана
Порыву бурь и зною, наконец
Увянет преждевременно она;
Но с корнем не исторгнет никогда
Мою березу вихрь: она тверда;
Так лишь в разбитом сердце может страсть
Иметь неограниченную власть.
 15


Под ношей бытия не устает
И не хладеет гордая душа;
Судьба ее так скоро не убьет,
А лишь взбунтует; мщением дыша
Против непобедимой, много зла
Она свершить готова, хоть могла
Составить счастье тысячи людей:
С такой душой ты бог или злодей...
 16


Как нравились всегда пустыни мне.
Люблю я ветер меж нагих холмов,
И коршуна в небесной вышине,
И на равнине тени облаков.
Ярма не знает резвый здесь табун,
И кровожадный тешится летун
Под синевой, и облако степей
Свободней как–то мчится и светлей.
 17


И мысль о вечности, как великан,
Ум человека поражает вдруг,
Когда степей безбрежный океан
Синеет пред глазами; каждый звук
Гармонии вселенной, каждый час
Страданья или радости для нас
Становится понятен, и себе
Отчет мы можем дать в своей судьбе.
 18


Кто посещал вершины диких гор
В тот свежий час, когда садится день,
На западе светило видит взор
И на востоке близкой ночи тень,
Внизу туман, уступы и кусты,
Кругом всё горы чудной высоты,
Как после бури облака, стоят,
И странные верхи в лучах горят.
 19


И сердце полно, полно прежних лет,
И сильно бьется; пылкая мечта
Приводит в жизнь минувшего скелет,
И в нем почти всё та же красота.
Так любим мы глядеть на свой портрет,
Хоть с нами в нем уж сходства больше нет,
Хоть на холсте хранится блеск очей,
Погаснувших от время и страстей.
 20


Что на земле прекрасней пирамид
Природы, этих гордых снежных гор?
Не переменит их надменный вид
Ничто: ни слава царств, ни их позор;
О ребра их дробятся темных туч
Толпы, и молний обвивает луч
Вершины скал; ничто не вредно им.
Кто близ небес, тот не сражен земным.
 21


Печален степи вид, где без препон,
Волнуя лишь серебряный ковыль,
Скитается летучий аквилон
И пред собой свободно гонит пыль;
И где кругом, как зорко ни смотри,
Встречает взгляд березы две иль три,
Которые под синеватой мглой
Чернеют вечером в дали пустой.
 22


Так жизнь скучна, когда боренья нет.
В минувшее проникнув, различить
В ней мало дел мы можем, в цвете лет
Она души не будет веселить.
Мне нужно действовать, я каждый день
Бессмертным сделать бы желал, как тень
Великого героя, и понять
Я не могу, что значит отдыхать.
 23


Всегда кипит и зреет что–нибудь
В моем уме. Желанье и тоска
Тревожат беспрестанно эту грудь.
Но что ж? Мне жизнь всё как–то коротка
И всё боюсь, что не успею я
Свершить чего–то!— Жажда бытия
Во мне сильней страданий роковых,
Хотя я презираю жизнь других.
 24


Есть время — леденеет быстрый ум;
Есть сумерки души, когда предмет
Желаний мрачен: усыпленье дум;
Меж радостью и горем полусвет;
Душа сама собою стеснена,
Жизнь ненавистна, но и смерть страшна,
Находишь корень мук в себе самом,
И небо обвинить нельзя ни в чем.
 25


Я к состоянью этому привык,
Но ясно выразить его б не мог
Ни ангельский, ни демонский язык:
Они таких не ведают тревог,
В одном всё чисто, а в другом всё зло.
Лишь в человеке встретиться могло
Священное с порочным. Все его
Мученья происходят оттого.
 26


Никто не получал, чего хотел
И что любил, и если даже тот,
Кому счастливый небом дан удел,
В уме своем минувшее пройдет,
Увидит он, что мог счастливей быть,
Когда бы не умела отравить
Судьба его надежды. Но волна
Ко брегу возвратиться не сильна.
 27


Когда, гонима бурей роковой,
Шипит и мчится с пеною своей,
Она всё помнит тот залив родной,
Где пенилась в приютах камышей,
И, может быть, она опять придет
В другой залив, но там уж не найдет
Себе покоя: кто в морях блуждал,
Тот не заснет в тени прибрежных скал.
 28


Я предузнал мой жребий, мой конец,
И грусти ранняя на мне печать;
И как я мучусь, знает лишь творец;
Но равнодушный мир не должен знать.
И не забыт умру я. Смерть моя
Ужасна будет; чуждые края
Ей удивятся, а в родной стране
Все проклянут и память обо мне.
 29


Все. Нет, не все: созданье есть одно,
Способное любить — хоть не меня;
До этих пор не верит мне оно,
Однако сердце, полное огня,
Не увлечется мненьем, и мое
Пророчество припомнит ум ее,
И взор, теперь веселый и живой,
Напрасной отуманится слезой.
 30


Кровавая меня могила ждет,
Могила без молитв и без креста,
На диком берегу ревущих вод
И под туманным небом; пустота
Кругом. Лишь чужестранец молодой,
Невольным сожаленьем, и молвой,
И любопытством приведен сюда,
Сидеть на камне станет иногда
 31


И скажет: отчего не понял свет
Великого, и как он не нашел
Себе друзей, и как любви привет
К нему надежду снова не привел?
Он был ее достоин. И печаль
Его встревожит, он посмотрит вдаль,
Увидит облака с лазурью волн,
И белый парус, и бегучий челн,
 32


И мой курган!— любимые мечты
Мои подобны этим. Сладость есть
Во всем, что не сбылось,— есть красоты
В таких картинах; только перенесть
Их на бумагу трудно: мысль сильна,
Когда размером слов не стеснена,
Когда свободна, как игра детей,
Как арфы звук в молчании ночей!


11 июня 
 ",1831
5,Лермонтов,Михаил,Юрьевич,1831–го января (Редеют бледные туманы...),"


Редеют бледные туманы
Над бездной смерти роковой,
И вновь стоят передо мной
Веков протекших великаны.
Они зовут, они манят,
Поют, и я пою за ними,
И, полный чувствами живыми,
Страшуся поглядеть назад,—


Чтоб бытия земного звуки
Не замешались в песнь мою,
Чтоб лучшей жизни на краю
Не вспомнил я людей и муки,
Чтоб я не вспомнил этот свет,
Где носит всё печать проклятья,
Где полны ядом все объятья,
Где счастья без обмана нет. ",1831
6,Лермонтов,Михаил,Юрьевич,Had we never loved so kindly,"
Если б мы не дети были,Если б слепо не любили,Не встречались, не прощались,Мы с страданьем бы не знались.
 ",
7,Лермонтов,Михаил,Юрьевич,Quand je te vois sourire...,"
Quand je te vois sourire,Mon coeur s’epanouit,Et je voudrais te direCe que mon coeur me dit! 
Alors toute ma vieA mes yeux apparait;Je maudis, et je prie,Et je pleure en secret. 
Car sans toi, mon seul guide,Sans ton regard de feuMon passe parait vide,Comme le ciel sans dieu. 
Et puis, caprice etrange,Je me surprends benirLe beau jour, oh mon ange,Ou tu m’as fait souffrir!...
 ",
8,Лермонтов,Михаил,Юрьевич,Sentenz,"
Когда бы мог весь свет узнать,Что жизнь с надеждами, мечтамиНе что иное - как тетрадьС давно известными стихами.
 ",
9,Лермонтов,Михаил,Юрьевич,А. А. Углицкой,"
Ma chere Alexandrine,Простите, же ву при,За мой армейский чинВсё, что je vous ecris; 

Меж тем же ву засюрIch wunsche счастья вам,Surtout beaucoup d’amourQuand vous serez Мадам.
 ",
10,Лермонтов,Михаил,Юрьевич,А. П. Петрову,"
Ну что скажу тебе я спросту?Мне не с-руки хвала и лесть:Дай бог тебе побольше росту -Другие качества все есть.
 ",
11,Лермонтов,Михаил,Юрьевич,"А.Д.3. (О ты, которого...)","


О ты, которого клеврет твой верный Павел
В искусстве ёрников в младенчестве наставил;
О ты, к которому день всякий Валерьян
На ваньке приезжал ярыгой, глуп и пьян,
Которому служил лакеем из лакеев
Шут, алырь, женолаз, великий Теличеев,
Приветствую тебя и твой триумвират:
И кто сказать бы смел, что черт тебе не брат? ",1831
12,Лермонтов,Михаил,Юрьевич,А.О.Смирновой (Без вас хочу...),"


Без вас хочу сказать вам много,
При вас я слушать вас хочу;
Но молча вы глядите строго,
И я в смущении молчу.
Что ж делать?.. Речью неискусной
Занять ваш ум мне не дано...
Всё это было бы смешно,
Когда бы не было так грустно... 
о любви",1840
13,Лермонтов,Михаил,Юрьевич,"Алябьевой (Вам красота, чтобы блеснуть...)","


Вам красота, чтобы блеснуть,
Дана;
В глазах душа, чтоб обмануть,
Видна!..
Но звал ли вас хоть кто–нибудь:
Она? ",1831
14,Лермонтов,Михаил,Юрьевич,Ангел,"


По небу полуночи ангел летел,
 И тихую песню он пел,
И месяц, и звёзды, и тучи толпой
 Внимали той песне святой.Он пел о блаженстве безгрешных духов
 Под кущами райских садов,
О Боге великом он пел, и хвала
 Его непритворна была.Он душу младую в объятиях нёс
 Для мира печали и слёз;
И звук его песни в душе молодой
 Остался – без слов, но живой.И долго на свете томилась она,
 Желанием чудным полна,
И звуков небес заменить не могли
 Ей скучные песни земли.
 ",
15,Лермонтов,Михаил,Юрьевич,Арфа,"
I
Когда зеленый дёрн мой скроет прах,Когда, простясь с недолгим бытиём,Я буду только звук в твоих устах,Лишь тень в воображении твоем;Когда друзья младые на пирахМеня не станут поминать вином,Тогда возьми простую арфу ты,Она была мой друг и друг мечты. 


II
Повесь ее в дому против окна,Чтоб ветер осени играл над ней,И чтоб ему ответила онаХоть отголоском песен прошлых дней;Но не проснется звонкая струнаПод белоснежною рукой твоей,Затем что тот, кто пел твою любовь,Уж будет спать, чтоб не проснуться вновь.
 ",
16,Лермонтов,Михаил,Юрьевич,Атаман,"


1


Горе тебе, город Казань,
Едет толпа удальцов
Собирать невольную дань
С твоих беззаботных купцов.


 Вдоль по Волге широкой


 На лодке плывут;


 И веслами дружными плещут,


 И песни поют.
 2


Горе тебе, русская земля,
Атаман между ними сидит;
Хоть его лихая семья,
Как волны, шумна, – он молчит;


 И краса молодая,


 Как саван бледна,


 Перед ним стоит на коленах.


 И молвит она:
 3


«Горе мне, бедной девице!
Чем виновна я пред тобой,
Ты поверил злой клеветнице;
Любим мною не был другой.


 Мне жребий неволи


 Судьбинушкой дан;


 Не губи, не губи мою душу,


 Лихой атаман».
 4


«Горе девице лукавой, –
Атаман ей нахмурясь в ответ, –
У меня оправдается правый,
Но пощады виновному нет;


 От глаз моих трудно


 Проступок укрыть,


 Все знаю!.. и вновь не могу я,


 Девица, любить!..
 5


Но лекарство чудесное есть
У меня для сердечных ран...
Прости же!– лекарство то: месть!
На что же я здесь атаман?


 И заплачу ль, как плачет


 Любовник другой?..


 И смягчишь ли меня ты, девица,


 Своею слезой?»
 6


Горе тебе, гроза–атаман,
Ты свой произнес приговор.
Средь пожаров ограбленных стран
Ты забудешь ли пламенный взор!..


 Остался ль ты хладен


 И тверд, как в бою,


 Когда бросили в пенные волны


 Красотку твою?
 7


Горе тебе, удалой!
Как совесть совсем удалить?..
Отныне он чистой водой
Боится руки умыть.


 Умывать он их любит


 С дружиной своей


 Слезами вдовиц беззащитных


 И кровью детей! ",1831
17,Лермонтов,Михаил,Юрьевич,Ах! ныне я не тот совсем...,"
Ах! ныне я не тот совсем,Меня друзья бы не узнали,И на челе тогда моемВласы седые не блистали.Я был еще совсем не стар;А иссушил мне сердце жарСтрастей, явилися морщиныИ ненавистные седины,Но и теперь преклонных летЯ презираю тяготенье.Я знал еще души волненье -Любви минувшей грозный след.Но говорю: краса Терезы...Теперь среди полночной грезыМне кажется: идет онаМежду каштанов и черешен...Катится по небу луна...Как я доволен и утешен!Я вижу кудри... взор живойГорячей влагою оделся...Как жемчуг перси белизной.Так живо образ дорогойВ уме моем напечатлелся! Стан невысокий помню яИ азиятские движенья,Уста пурпурные ея,Стыда румянец и смятенье...Но полно! полно! я любил,Я чувств своих не изменил!........................Любовь, сокрывшись в сердце диком,В одних лишь крайностях горитИ вечно (тщетно рок свирепыйВосстал) меня не охладит,И тень минувшего бежитПоныне всюду за Мазепой.......................
 ",
18,Лермонтов,Михаил,Юрьевич,Баллада,"
Куда так проворно, жидовка младая?Час утра, ты знаешь, далек...Потише - распалась цепочка златая,И скоро спадет башмачок. 
Вот мост, вот чугунные влево перилыБлестят от огня фонарей;Держись за них крепче, - устала, нет силы...Вот дом - и звонок у дверей. 
Безмолвно жидовка у двери стояла,Как мраморный идол бледна;Потом, за снурок потянув, постучала, -И кто-то взглянул из окна. 
И страхом и тайной надеждой пылая,Еврейка глаза подняла...Конечно, ужасней минута такаяСтолетий печали была. 
Она говорила: «мой ангел прекрасный,Взгляни еще раз на меня,Избавь свою Сару от пытки напрасной,Избавь от ножа и огня. 
Отец мой сказал, что закон МоисеяЛюбить запрещает тебя.Мой друг, я внимала отцу не бледнея,Затем, что внимала любя. 
И мне обещал он страданья, мученья,И нож наточил роковой,И вышел... Мой друг, берегись его мщенья, -Он будет как тень за тобой. 
Отцовского мщенья ужасны удары,Беги же отсюда скорей!Тебе не изменят уста твоей СарыПод хладной рукой палачей. 
Беги!..» Но на лик, из окна наклоненный,Блеснул неожиданный свет,И что-то сверкало в руке обнаженной,И мрачен глухой был ответ. 
И тяжкое что то на камни упало,И стон раздался под стеной, -В нем все улетающей жизнью дышало,И больше, чем жизнью одной! 
Поутру, толпяся, народ изумленныйКричал и шептал об одном:Там в доме был русский, кинжалом пронзенный,И женщины труп под окном.
 ",
19,Лермонтов,Михаил,Юрьевич,Баллада (В избушке позднею порою...),"


В избушке позднею порою
Славянка юная сидит.
Вдали багровой полосою
На небе зарево горит...
И, люльку детскую качая,
Поет славянка молодая...


«Не плачь, не плачь! иль сердцем чуешь,
Дитя, ты близкую беду!..
О, полно, рано ты тоскуешь:
Я от тебя не отойду.
Скорее мужа я утрачу.
Дитя, не плачь! и я заплачу!


Отец твой стал за честь и бога
В ряду бойцов против татар,
Кровавый след ему дорога,
Его булат блестит, как жар.
Взгляни, там зарево краснеет:
То битва семя смерти сеет.


Как рада я, что ты не в силах
Понять опасности своей,
Не плачут дети на могилах;
Им чужд и стыд и страх цепей;
Их жребий зависти достоин...»
Вдруг шум – и в двери входит воин.


Брада в крови, избиты латы.
«Свершилось!– восклицает он, –
Свершилось! торжествуй, проклятый!...
Наш милый край порабощен,
Татар мечи не удержали –
Орда взяла, и наши пали».


И он упал – и умирает
Кровавой смертию бойца.
Жена ребенка поднимает
Над бледной головой отца:
«Смотри, как умирают люди,
И мстить учись у женской груди!..» 
баллады",1831
20,Лермонтов,Михаил,Юрьевич,Баллада (Из ворот выезжают...),"


(С немецкого)


Из ворот выезжают три витязя в ряд,
увы!
Из окна три красотки вослед им глядят:
прости!
Напрасно в боях они льют свою кровь —
увы!
Разлука пришла — и девичья любовь
прости!
Уж три витязя новых в ворота спешат,
увы!
И красотки печали своей говорят:
прости! 
баллады",1832
21,Лермонтов,Михаил,Юрьевич,Баллада (Над морем красавица–дева...),"


Над морем красавица–дева сидит;
И, к другу ласкаяся, так говорит:


«Достань ожерелье, спустися на дно;
Сегодня в пучину упало оно!


Ты этим докажешь свою мне любовь!»
Вскипела лихая у юноши кровь,


И ум его обнял невольный недуг,
Он в пенную бездну кидается вдруг.


Из бездны перловые брызги летят,
И волны теснятся, и мчатся назад,


И снова приходят и о берег бьют,
Вот милого друга они принесут.


О счастье! он жив, он скалу ухватил,
В руке ожерелье, но мрачен как был.


Он верить боится усталым ногам,
И влажные кудри бегут по плечам...


«Скажи, не люблю иль люблю я тебя,
Для перлов прекрасной и жизнь не щадя,


По слову спустился на черное дно,
В коралловом гроте лежало оно.


Возьми!» –

и печальный он взор устремил
На то, что дороже он жизни любил.


Ответ был: «О милый, о юноша мой!
Достань, если любишь, коралл дорогой».


С тоской безнадежной младой удалец
Прыгнул, чтоб найти иль коралл, иль конец.


Из бездны перловые брызги летят,
И волны теснятся, и мчатся назад,


И снова приходят и о берег бьют,
Но милого друга они не несут. 
баллады",1829
22,Лермонтов,Михаил,Юрьевич,Бартеневой (Скажи мне: где переняла...),"


Скажи мне: где переняла
Ты обольстительные звуки
И как соединить могла
Отзывы радости и муки?


Премудрой мыслию вникал
Я в песни ада, в песни рая,
Но что ж? — нигде я не слыхал
Того, что слышал от тебя я! ",1831
23,Лермонтов,Михаил,Юрьевич,"Башилову (Вы старшина собранья, верно...)","


Вы старшина собранья, верно,
Так я прошу вас объявить,
Могу ль я здесь нелицемерно
В глаза всем правду говорить?
Авось, авось займет нас делом
Иль хоть забавит новый год,
Когда один в собранье целом
Ему навстречу не солжет;
Итак, я вас не поздравляю;
Что год сей даст вам — знает бог.
Зато минувший, уверяю,
Отметил за вас, как только мог! ",1831
24,Лермонтов,Михаил,Юрьевич,"Безумец я ! вы правы, правы!...","
Безумец я ! вы правы, правы!Смешно бессмертье на земли.Как смел желать я громкой славы,Когда вы счастливы в пыли!Как мог я цепь предубежденийУмом свободным потрясать,И пламень тайных угрызенийЗа жар поэзии принять?Нет, не похож я на поэта!Я обманулся, вижу сам;Пускай как он, я чужд для света,Но чужд зато и небесам!Мои слова печальны: знаю;Но смысла их вам не понять.Я их от сердца отрываю,Чтоб муки с ними оторвать!Нет... мне ли властвовать умами,Всю жизнь на то употребя? -Пускай возвышусь я над вами,Но удалюсь ли от себя?И позабуду ль самовластноМою погибшую любовь,Все то, чему я верил страстно,Чему не смею верить вновь? -
 ",
25,Лермонтов,Михаил,Юрьевич,Благодарность,"


За все, за все тебя благодарю я:
За тайные мучения страстей,
За горечь слез, отраву поцелуя,
За месть врагов и клевету друзей;
За жар души, растраченный в пустыне,
За все, чем я обманут в жизни был...
Устрой лишь так, чтобы тебя отныне
Недолго я еще благодарил. ",1840
26,Лермонтов,Михаил,Юрьевич,Благодарю!,"


Благодарю!.. Вчера мое признанье
И стих мой ты без смеха приняла;
Хоть ты страстей моих не поняла,
Но за твое притворное вниманье


Благодарю!


В другом краю ты некогда пленяла,
Твой чудный взор и острота речей
Останутся навек в душе моей,
Но не хочу, чтобы ты мне сказала:


Благодарю!


Я б не желал умножить в цвете жизни
Печальную толпу твоих рабов
И от тебя услышать, вместо слов
Язвительной, жестокой укоризны:


Благодарю!


О, пусть холодность мне твой взор покажет,
Пусть он убьет надежды и мечты
И все, что в сердце возродила ты;
Душа моя тебе тогда лишь скажет:


Благодарю! ",1830
27,Лермонтов,Михаил,Юрьевич,* * *,"


Блистая, пробегают облака
По голубому небу. Холм крутой
Осенним солнцем озарен. Река
Бежит внизу по камням с быстротой.
И на холме пришелец молодой,
Завернут в плащ, недвижимо сидит
Под старою березой. Он молчит,
Но грудь его подъемлется порой;
Но бледный лик меняет часто цвет;
Чего он ищет здесь? – спокойствия? – о нет!


Он смотрит вдаль: тут лес пестреет, там
Поля и степи, там встречает взгляд
Опять дубраву или по кустам
Рассеянные сосны. Мир как сад,
Цветет – надев могильный свой наряд:
Поблекнувшие листья; жалок мир!
В нем каждый средь толпы забыт и сир;
И люди все к ничтожеству спешат, –
Но, хоть природа презирает их,
Любимцы есть у ней, как у царей других.


И тот, на ком лежит ее печать,
Пускай не ропщет на судьбу свою,
Чтобы никто, никто не смел сказать,
Что у груди своей она змею
Согрела. «О! когда б одно люблю
Из уст прекрасной мог подслушать я,
Тогда бы люди, даже жизнь моя
В однообразном северном краю,
Все б в новый блеск оделось!» – Так мечтал
Беспечный... но просить он неба не желал!


7 августа , в деревне на холме, у забора.
 ",1831
28,Лермонтов,Михаил,Юрьевич,Бой,"


Сыны небес; однажды надо мною
Слетелися, воздушных два бойца;
Один — серебряной обвешан бахромою,
Другой — в одежде чернеца.
И, видя злость противника второго,
Я пожалел о воине младом;
Вдруг поднял он концы сребристого покрова,
И я под ним заметил — гром.
И кони их ударились крылами,
И ярко брызнул из ноздрей огонь;
Но вихорь отступил перед громами,
И пал на землю черный конь. ",1832
29,Лермонтов,Михаил,Юрьевич,Болезнь в груди моей и нет мне исцеленья...,"
Болезнь в груди моей и нет мне исцеленья,Я увядаю в полном цвете!Пускай! - я не был раб земного наслажденья,Не для людей я жил на свете.Одно лишь существо душой моей владело,Но в разный путь пошли мы оба,И мы рассталися, и небо захотело,Чтоб не сошлись опять у гроба.Гляжу в безмолвии на запад: догораетКраснея гордое светило,Мне хочется за ним: оно, быть может, знает,Как воскрешать все то, что мило.Быть может, ослеплен огнем его сияньяЯ хоть на время позабудуВолшебные глаза и поцелуй прощанья,За мной бегущие повсюду.
 ",
