,Автор стихов,Название,Текст,Год
0,Пушкин,Из Пиндемонти,"

Не дорого ценю я громкие права,
От коих не одна кружится голова.
Я не ропщу о том, что отказали боги
Мне в сладкой участи оспоривать налоги
Или мешать царям друг с другом воевать;
И мало горя мне, свободно ли печать
Морочит олухов, иль чуткая цензура
В журнальных замыслах стесняет балагура.
Всё это, видите ль, слова, слова, слова.
Иные, лучшие, мне дороги права;
Иная, лучшая, потребна мне свобода:
Зависеть от царя, зависеть от народа –
Не всё ли нам равно? 
Бог с ними.
Никому
Отчёта не давать, себе лишь самому
Служить и угождать; для власти, для ливреи
Не гнуть ни совести, ни помыслов, ни шеи;
По прихоти своей скитаться здесь и там,
Дивясь божественным природы красотам,
И пред созданьями искусств и вдохновенья
Трепеща радостно в восторгах умиленья.
– 
Вот счастье! вот права...
 ",
1,Пушкин,* * *,"

...
Вновь я посетил
Тот уголок земли, где я провел
Изгнанником два года незаметных.
Уж десять лет ушло с тех пор – и много
Переменилось в жизни для меня,
И сам, покорный общему закону,
Переменился я – но здесь опять
Минувшее меня объемлет живо,
И, кажется, вечор еще бродил
Я в этих рощах.
Вот опальный домик,
Где жил я с бедной нянею моей.
Уже старушки нет – уж за стеною
Не слышу я шагов ее тяжелых,
Ни кропотливого ее дозора.
Вот холм лесистый, над которым часто
Я сиживал недвижим – и глядел
На озеро, воспоминая с грустью
Иные берега, иные волны...
Меж нив златых и пажитей зеленых
Оно синея стелется широко;
Через его неведомые воды
Плывет рыбак и тянет за собой
Убогой невод. 
По брегам отлогим
Рассеяны деревни – там за ними
Скривилась мельница, насилу крылья
Ворочая при ветре...
На границе
Владений дедовских, на месте том,
Где в гору подымается дорога,
Изрытая дождями, три сосны
Стоят – одна поодаль, две другие
Друг к дружке близко, – здесь, когда их мимо
Я проезжал верхом при свете лунном,
Знакомым шумом шорох их вершин
Меня приветствовал. 
По той дороге
Теперь поехал я, и пред собою
Увидел их опять. 
Они всё те же,
Всё тот же их, знакомый уху шорох –
Но около корней их устарелых
(
Где некогда всё было пусто, голо)
Теперь младая роща разрослась,
Зеленая семья; кусты теснятся
Под сенью их как дети. 
А вдали
Стоит один угрюмый их товарищ
Как старый холостяк, и вкруг него
По–прежнему всё пусто.
Здравствуй, племя
Младое, незнакомое! не я
Увижу твой могучий поздний возраст,
Когда перерастешь моих знакомцев
И старую главу их заслонишь
От глаз прохожего. 
Но пусть мой внук
Услышит ваш приветный шум, когда,
С приятельской беседы возвращаясь,
Веселых и приятных мыслей полон,
Пройдет он мимо вас во мраке ночи
И обо мне вспомянет. ",1835
2,Пушкин,19 октября 1825,"

Роняет лес багряный свой убор,
Сребрит мороз увянувшее поле,
Проглянет день как будто поневоле
И скроется за край окружных гор.
Пылай, камин, в моей пустынной келье;
А ты, вино, осенней стужи друг,
Пролей мне в грудь отрадное похмелье,
Минутное забвенье горьких мук.

Печален я: со мною друга нет,
С кем долгую запил бы я разлуку,
Кому бы мог пожать от сердца руку
И пожелать веселых много лет.
Я пью один; вотще воображенье
Вокруг меня товарищей зовет;
Знакомое не слышно приближенье,
И милого душа моя не ждет.

Я пью один, и на брегах 
Невы
Меня друзья сегодня именуют...
Но многие ль и там из вас пируют?
Еще кого не досчитались вы?
Кто изменил пленительной привычке?
Кого от вас увлек холодный свет?
Чей глас умолк на братской перекличке?
Кто не пришел? 
Кого меж вами нет?

Он не пришел, кудрявый наш певец,
С огнем в очах, с гитарой сладкогласной:
Под миртами 
Италии прекрасной
Он тихо спит, и дружеский резец
Не начертал над русскою могилой
Слов несколько на языке родном,
Чтоб некогда нашел привет унылый
Сын севера, бродя в краю чужом.

Сидишь ли ты в кругу своих друзей,
Чужих небес любовник беспокойный?
Иль снова ты проходишь тропик знойный
И вечный лед полунощных морей?
Счастливый путь!.. 
С лицейского порога
Ты на корабль перешагнул шутя,
И с той поры в морях твоя дорога,
О волн и бурь любимое дитя!

Ты сохранил в блуждающей судьбе
Прекрасных лет первоначальны нравы:
Лицейский шум, лицейские забавы
Средь бурных волн мечталися тебе;
Ты простирал из–за моря нам руку,
Ты нас одних в младой душе носил
И повторял: «
На долгую разлуку
Нас тайный рок, быть может, осудил!»

Друзья мои, прекрасен наш союз!
Он, как душа, неразделим и вечен —
Неколебим, свободен и беспечен,
Срастался он под сенью дружных муз.
Куда бы нас ни бросила судьбина
И счастие куда б ни повело,
Всё те же мы: нам целый мир чужбина;
Отечество нам 
Царское 
Село.

Из края в край преследуем грозой,
Запутанный в сетях судьбы суровой,
Я с трепетом на лоно дружбы новой,
Устав, приник ласкающей главой...
С мольбой моей печальной и мятежной,
С доверчивой надеждой первых лет,
Друзьям иным душой предался нежной;
Но горек был небратский их привет.

И ныне здесь, в забытой сей глуши,
В обители пустынных вьюг и хлада,
Мне сладкая готовилась отрада:
Троих из вас, друзей моей души,
Здесь обнял я. 
Поэта дом опальный,
О 
Пущин мой, ты первый посетил;
Ты усладил изгнанья день печальный,
Ты в день его 
Лицея превратил.

Ты, 
Горчаков, счастливец с первых дней,
Хвала тебе — фортуны блеск холодный
Не изменил души твоей свободной:
Всё тот же ты для чести и друзей.
Нам разный путь судьбой назначен строгой;
Ступая в жизнь, мы быстро разошлись:
Но невзначай проселочной дорогой
Мы встретились и братски обнялись.

Когда постиг меня судьбины гнев,
Для всех чужой, как сирота бездомный,
Под бурею главой поник я томной
И ждал тебя, вещун пермесских дев,
И ты пришел, сын лени вдохновенный,
О 
Дельвиг мой: твой голос пробудил
Сердечный жар, так долго усыпленный,
И бодро я судьбу благословил.

С младенчества дух песен в нас горел,
И дивное волненье мы познали;
С младенчества две музы к нам летали,
И сладок был их лаской наш удел:
Но я любил уже рукоплесканья,
Ты, гордый, пел для муз и для души;
Свой дар, как жизнь, я тратил без вниманья,
Ты гений свой воспитывал в тиши.

Служенье муз не терпит суеты;
Прекрасное должно быть величаво:
Но юность нам советует лукаво,
И шумные нас радуют мечты...
Опомнимся — но поздно! и уныло
Глядим назад, следов не видя там.
Скажи, 
Вильгельм, не то ль и с нами было,
Мой брат родной по музе, по судьбам?

Пора, пора! душевных наших мук
Не стоит мир; оставим заблужденья!
Сокроем жизнь под сень уединенья!
Я жду тебя, мой запоздалый друг —
Приди; огнем волшебного рассказа
Сердечные преданья оживи;
Поговорим о бурных днях 
Кавказа,
О 
Шиллере, о славе, о любви.

Пора и мне... пируйте, о друзья!
Предчувствую отрадное свиданье;
Запомните ж поэта предсказанье:
Промчится год, и с вами снова я,
Исполнится завет моих мечтаний;
Промчится год, и я явлюся к вам!
О, сколько слез и сколько восклицаний,
И сколько чаш, подъятых к небесам!

И первую полней, друзья, полней!
И всю до дна в честь нашего союза!
Благослови, ликующая муза,
Благослови: да здравствует 
Лицей!
Наставникам, хранившим юность нашу,
Всем честию, и мертвым и живым,
К устам подъяв признательную чашу,
Не помня зла, за благо воздадим.

Полней, полней! и, сердцем возгоря,
Опять до дна, до капли выпивайте!
Но за кого? о други, угадайте...
Ура, наш царь! так! выпьем за царя.
Он человек! им властвует мгновенье.
Он раб молвы, сомнений и страстей;
Простим ему неправое гоненье:
Он взял 
Париж, он основал 
Лицей.

Пируйте же, пока еще мы тут!
Увы, наш круг час от часу редеет;
Кто в гробе спит, кто дальный сиротеет;
Судьба глядит, мы вянем; дни бегут;
Невидимо склоняясь и хладея,
Мы близимся к началу своему...
Кому ж из нас под старость день 
Лицея
Торжествовать придется одному?

Несчастный друг! средь новых поколений
Докучный гость и лишний, и чужой,
Он вспомнит нас и дни соединений,
Закрыв глаза дрожащею рукой...
Пускай же он с отрадой хоть печальной
Тогда сей день за чашей проведет,
Как ныне я, затворник ваш опальный,
Его провел без горя и забот. ",1825
3,Пушкин,19 октября 1827,"

Бог помочь вам, друзья мои,
В заботах жизни, царской службы,
И на пирах разгульной дружбы,
И в сладких таинствах любви!

Бог помочь вам, друзья мои,
И в бурях, и в житейском горе,
В краю чужом, в пустынном море
И в мрачных пропастях земли! ",1827
4,Пушкин,2 ноября,"

Зима. 
Что делать нам в деревне? 
Я встречаю
Слугу, несущего мне утром чашку чаю,
Вопросами: тепло ль? утихла ли метель?
Пороша есть иль нет? и можно ли постель
Покинуть для седла, иль лучше до обеда
Возиться с старыми журналами соседа?
Пороша. 
Мы встаем, и тотчас на коня,
И рысью по полю при первом свете дня;
Арапники в руках, собаки вслед за нами;
Глядим на бледный снег прилежными глазами;
Кружимся, рыскаем и поздней уж порой,
Двух зайцев протравив, являемся домой.
Куда как весело! 
Вот вечер: вьюга воет;
Свеча темно горит; стесняясь, сердце ноет;
По капле, медленно глотаю скуки яд.
Читать хочу; глаза над буквами скользят,
А мысли далеко... 
Я книгу закрываю;
Беру перо, сижу; насильно вырываю
У музы дремлющей несвязные слова.
Ко звуку звук нейдет... 
Теряю все права
Над рифмой, над моей прислужницею странной:
Стих вяло тянется, холодный и туманный.
Усталый, с лирою я прекращаю спор,
Иду в гостиную; там слышу разговор
О близких выборах, о сахарном заводе;
Хозяйка хмурится в подобие погоде,
Стальными спицами проворно шевеля,
Иль про червонного гадает короля.
Тоска! 
Так день за днем идет в уединеньи!
Но если под вечер в печальное селенье,
Когда за шашками сижу я в уголке,
Приедет издали в кибитке иль возке
Нежданая семья: старушка, две девицы
(
Две белокурые, две стройные сестрицы), –
Как оживляется глухая сторона!
Как жизнь, о боже мой, становится полна!
Сначала косвенно–внимательные взоры,
Потом слов несколько, потом и разговоры,
А там и дружный смех, и песни вечерком,
И вальсы резвые, и шопот за столом,
И взоры томные, и ветреные речи,
На узкой лестнице замедленные встречи;
И дева в сумерки выходит на крыльцо:
Открыты шея, грудь, и вьюга ей в лицо!
Но бури севера не вредны русской розе.
Как жарко поцелуй пылает на морозе!
Как дева русская свежа в пыли снегов! ",1829
5,Пушкин,27 мая 1819,"
Веселый вечер в жизни нашей
Запомним, юные друзья;
Шампанского в стеклянной чаше
Шипела хладная струя.
Мы пили - и 
Венера с нами
Сидела прея за столом.
Когда ж вновь сядем в четвером
С б, вином и чубуками? 

 ",1819
6,Пушкин,A son amant Egle sans resistance...,"

A son amant 
Egle sans resistance
Avait cede — mais lui pale et perclus
Se demenait — enfin n’en pouvant plus
Tout essouffle tira ... sa reverance,—
«
Monsieur,— 
Egle d’un ton plein d’arrogance,—
Parlez, 
Monsieur: pourquoi donc mon aspect
Vous glace-t-il? m’en direz vous la cause?
Est-ce degout?» — 
Mon dieu, c’est autre chose.—
«
Exces d’amour?» — 
Non, exces de respect.

Любовнику 
Аглая без сопротивления
Уступила,— но он, бледный и бессильный,
Выбивался из сил, наконец в изнеможении
Совсем запыхавшись удовлетворился... поклоном.
Ему 
Аглая высокомерным тоном:
«
Скажите, милостивый государь, почему же мой вид
Вас леденит? 
Не объясните ли причину?
Отвращение?» — «
Боже мой, не то».
— «
Излишек любви?» — «
Нет, излишек уважения».
(
Франц.)
 ",
7,Пушкин,Couplets,"
Quand un poete en son extase
Vous lit son ode ou son bouquet,
Quand un conteur traоne sa phrase,
Quand on ecoute un perroquet,
Ne trouvant pas le mot pour rire,
On dort, on baille en son mouchoir,
On attend le moment de dire:
Jusqu’au plaisir de nous revoir.
Mais tete-а-tete avec sa belle,
Ou bien avec des gens d’esprit,
Le vrai bonheur se renouvelle,
On est content, l’on chante, on rit.
Prolongez vos paisibles veilles,
Et chantez vers la fin du soir
A vos amis, а vos bouteilles:
Jusqu’au plaisir de nous revoir.
Amis, la vie est un passage
Et tout s’ecoule avec le temps,
L’amour aussi n’est qu’un volage,
Un oiseau de notre printemps;
Trop tot il fuit, riant sous cape
-
C’est pour toujours, adieu l’
Espoir!
On ne dit pas des qu’il s’echappe:
Jusqu’au plaisir de nous revoir.
Le temps s’enfuit triste et barbare
Et tot ou tard on va lа-hout.
Souvent - le cas n’est pas si rare
-
Hasard nous sauve du tombeau.
Des maux s’eloignent les cohortes
Et le squelette horrible et noir
S’en va frappant а d’autres portes:
Jusqu’au plaisir de nous revoir.
Mais quoi? je sens que je me lasse
En lassant mes chers auditeurs,
Allons, je descends du 
Parnasse -
Il n’est pas fait pour les chanteurs,
Pour des couplets mon feu s’allume,
Sur un refrain j’ai du pouvoir,
C’est bien assez
-
adieu, ma plume!
Jusqu’au plaisir de nous revoir.
? ()
 ",1813-1817
8,Пушкин,"Je chante ce combat, que Toly remporta...","
Je chante ce combat, que 
Toly remporta,
Ou inaint guerrier perit, ou 
Paul se signala,
Nicolas 
Maturin et la belle 
Nitouche,
Dont la main fut ie prix d’une horrible escarmouche.

 ",1809-1811
9,Пушкин,Mon Portrait,"
Vous’ me demandez mon portrait,
Mais peint d’apres nature;
Mon cher, il sera bientot fait,
Quoique en miniature.
Je suis un jeune polisson,
Encore dans les classes;
Point sot, je le dis sans facon
Et sans fades grimaces.
Onc il ne fut de babillard,
Ni docteur en 
Sorbonne -
Plus ennuyeux et plus braillard.
Que moi-meme en personne.
Ma taille a celles des plus longs
Ne peut etre egalee;
J’ai le teint frais, les chevenz blonds
Et le tete bouclee.
J’aime et le monde et son fracas,
Je hais la solitude;
J’abhorre et noises, et debats,
Et tant soit peu l’etude.
Spectacles, bals me plaisent fort
Et d’apres ma pensee,
Je dirais ce que j’aime encor...
Si n’etais au 
Lycee.
Apres cela, mon cher ami,
L’on peut me reconnaitre:
Oui! tel que le bon dieu me fit,
Je veux toujours paraоtre.
Vrai demon pour l’espieglerie,
Vrai singe par sa mine,
Beaucoup et trop d’etourderie.
Ma foi, voila 
Pouchkine.

 ",1814
